DATE,LRAC24FEPLQ156S,LRAC24MAPLQ156S,LRAC25FEPLQ156S,LRAC25MAPLQ156S,LRAC55FEPLQ156S,LRAC55MAPLQ156S,LREM24FEPLQ156S,LREM24MAPLQ156S,LREM25FEPLQ156S,LREM25MAPLQ156S,LREM55FEPLQ156S,LREM55MAPLQ156S,LRUN24FEPLQ156S,LRUN24MAPLQ156S,LRUN25FEPLQ156S,LRUN25MAPLQ156S,LRUN55FEPLQ156S,LRUN55MAPLQ156S,LFEAAGTTPLQ647S,LFEAICTTPLQ647S,LFEASETTPLQ647S
2000-01-01,34.0879,38.47356,76.69205,88.42387,23.92402,41.492459999999994,21.22813,25.2821,64.64335,77.98980999999999,21.69689,37.79045,37.72533,34.28707,15.7105,11.80005,9.309170000000002,8.922117,2713115.0,4486271.0,7384763.000000001
2000-04-01,34.70982,40.588,76.59739,88.49944,23.96622,40.61988,21.86778,26.85674,64.49068,77.96119,21.37788,36.99678,36.99828,33.83084,15.80564,11.90769,10.79997,8.919534,2714879.0000000005,4488710.0,7345611.999999999
2000-07-01,34.85347,41.81918,76.2951,88.06441,23.49985,40.17664,22.00567,28.25967,64.08646999999999,77.31586,21.46384,36.60452,36.86233,32.42413,16.00185,12.20532,8.663901,8.891036,2707236.0,4478767.0,7311922.0
2000-10-01,35.5067,42.5032,76.36908000000001,88.24834,23.15885,39.26189,22.21467,28.49536,63.88703,77.24918000000001,20.88592,35.28803,37.43528,32.95714,16.344379999999997,12.46387,9.814521,10.12141,2725470.0,4470252.0,7275703.0
2001-01-01,36.90575,44.71074,76.19802,88.11702,21.21433,38.88462,22.66631,28.95566,63.463440000000006,76.66091999999999,19.24205,34.943059999999996,38.58326,35.237790000000004,16.71247,13.00101,9.296956,10.13656,2708305.9999999995,4460082.0,7206538.0
2001-04-01,36.7156,43.24754,76.40189000000001,87.61256,23.0983,40.197959999999995,21.77858,26.92761,63.21041,75.56448,21.34416,36.21383,40.68303,37.7361,17.26591,13.75154,7.594233999999998,9.911262,2715270.0,4386808.0,7165326.999999999
2001-07-01,36.12384,42.36828,76.29549,87.50938000000001,22.30843,39.72709,20.95256,25.75599,62.9726,75.00197,20.65663,35.577259999999995,41.99798,39.20927,17.462229999999998,14.29264,7.404385,10.44587,2718910.9999999995,4293042.0,7159161.999999999
2001-10-01,35.79985,42.00569,76.04224,87.49889,22.06055,39.40918,20.46456,24.74714,62.445780000000006,74.23663,20.24619,35.5638,42.83619,41.08622,17.88015,15.15706,8.224475,9.757574,2701212.9999999995,4185469.0,7124573.0
2002-01-01,35.07795,42.09526,75.95625,87.22336999999999,21.51164,39.13197,20.07073,25.02529,62.14536999999999,73.45612,19.46843,35.05195,42.78249,40.55082,18.18267,15.7839,9.498167,10.42632,2713084.0000000005,4059055.0,7145329.000000001
2002-04-01,34.32801,41.89869,75.73756,87.24769,20.96386,39.06727,19.59186,24.79784,61.799130000000005,73.04379,19.34805,34.71328,42.92749,40.81477,18.40359,16.279970000000002,7.707631,11.14485,2674039.0,3966421.0,7165485.0
2002-07-01,33.866,41.56942,75.82919,87.29066999999999,19.35948,38.4147,18.90229,24.30443,61.75058000000001,72.83102,17.29177,34.21627,44.18505,41.53291,18.56621,16.56494,10.68059,10.92924,2640170.0,3878434.0,7197403.0
2002-10-01,33.02925,40.72087,75.61924,87.08849000000001,21.64137,38.33374,18.7183,22.52734,61.713269999999994,72.67352,19.65352,34.231759999999994,43.328109999999995,44.67863,18.38946,16.5521,9.185422,10.7007,2578607.0,3884190.0,7225482.0
2003-01-01,32.14915,39.841809999999995,75.71367,87.13599,22.29209,39.16758,18.39507,22.93411,61.89159,72.92979,20.49868,34.97207,42.78209,42.43708,18.25573,16.30348,8.045058000000001,10.71168,2533550.0,3848102.000000001,7214005.0
2003-04-01,32.33978,40.87579,75.78075,86.97041,22.525920000000003,39.37836,18.3096,24.4825,62.24851,72.87856,20.2174,35.10438,43.38367,40.10512,17.8571,16.20305,10.24828,10.85363,2504037.0000000005,3897634.0,7254446.0
2003-07-01,32.18851,40.80901,75.82139000000001,87.16835999999999,21.05293,39.96029,18.235529999999997,24.03387,62.09919,73.06054,18.53222,35.45819,43.34772,41.10645,18.09805,16.18457,11.97321,11.26645,2471192.9999999995,3912790.999999999,7202299.0
2003-10-01,32.3129,40.519740000000006,75.74474000000001,87.12907,21.94761,40.17257,18.46132,24.33665,62.18618000000001,72.96963000000001,19.845370000000003,35.27916,42.86702,39.93878,17.90034,16.25111,9.578455000000002,12.18097,2480520.0,3910473.0,7238049.0
2004-01-01,32.526920000000004,40.46913,75.98354,87.62791999999999,21.78006,39.14547,18.37463,24.48992,62.3386,73.29404,19.64772,34.23737,43.50946,39.48494,17.95776,16.357670000000002,9.790337,12.53808,2462413.0,3928984.000000001,7303361.999999999
2004-04-01,31.73934,39.543690000000005,75.87099,87.67918,21.11362,39.13093,18.41653,24.21943,62.35154,73.71053,19.29665,34.19695,41.9757,38.75273,17.819000000000003,15.93155,8.605678999999999,12.60889,2473256.0,3956801.0,7319729.0
2004-07-01,31.79059,39.1993,75.91521999999999,87.66656,21.07534,38.6045,18.69383,24.57063,62.74912,73.85852,19.07117,33.68649,41.19697,37.31868,17.34316,15.75063,9.50956,12.73949,2468743.0,3989473.0,7352015.0
2004-10-01,31.8186,39.74545,76.18179,88.14439,21.5364,39.38033,18.745379999999997,25.81601,62.76866999999999,74.73555,19.46485,34.44125,41.08674,35.04663,17.60673,15.21235,9.618839,12.542,2477388.0,4028042.999999999,7415294.0
2005-01-01,31.331159999999997,39.47502,76.21495,88.59431,21.08504,39.95969,18.55581,25.50096,62.68365,75.54103,19.11212,34.793490000000006,40.77522,35.39976,17.75412,14.73377,9.356958,12.92854,2466195.0,4072425.0,7461088.000000001
2005-04-01,31.719340000000003,39.06987,76.55805,88.79769,21.4843,40.327459999999995,18.99782,24.34102,62.97614,75.77154,19.73878,35.47195,40.10649,37.69874,17.740679999999998,14.66947,8.124619000000001,12.04022,2452772.9999999995,4116185.000000001,7479726.0
2005-07-01,32.57738,40.1777,76.41102,88.82011999999999,21.87574,41.58831,20.56544,25.82583,62.9597,76.35915,20.04114,36.47466,36.87201,35.72098,17.6039,14.02944,8.386459,12.29588,2445071.0,4124022.0,7582334.0
2005-10-01,31.55745,39.18473,76.47417,88.70803000000001,21.49822,41.537409999999994,20.34848,25.83961,63.797169999999994,76.65398,19.78676,36.77151,35.519259999999996,34.05695,16.576829999999998,13.58846,7.960947999999998,11.47377,2392662.0000000005,4195768.0,7674052.0
2006-01-01,30.82835,37.06023,75.70573,88.21285,20.19848,41.62729,20.22597,25.19619,64.16501,76.87442,18.956,37.38151,34.39167,32.01287,15.24419,12.8535,6.151354,10.19952,2347737.0,4248936.0,7740486.999999999
2006-04-01,30.95416,37.45661,75.45119,88.09924000000001,20.1866,41.8578,21.05239,26.33245,64.84125,77.81255999999999,18.92102,37.52912,31.9885,29.69879,14.06199,11.67625,6.269385,10.3414,2295865.0,4340468.0,7886229.0
2006-07-01,30.39588,38.24417,75.27645,88.16619,20.59915,43.11334,21.1637,27.946620000000003,65.67617,78.76616999999999,19.30457,39.08252,30.373140000000003,26.92583,12.75337,10.66171,6.284596,9.349366,2280797.0,4420407.0,7996438.0
2006-10-01,30.58679,37.39638,75.1756,88.15899999999999,20.14347,43.58688,21.50685,28.21107,66.50984,79.70978000000001,18.9435,39.57861,29.685809999999996,24.56203,11.52734,9.584072,5.9571190000000005,9.196063,2250200.0,4485289.000000001,8081545.0
2007-01-01,29.563159999999996,36.65057,75.21722,88.12914,20.46304,43.92628,21.67941,28.36341,67.32243000000001,80.37737,19.44931,40.31556,26.66747,22.61127,10.496,8.795929,4.953953,8.219958,2260277.0,4531769.0,8206616.0
2007-04-01,29.01733,37.06005,75.71555,87.77981,20.00785,44.81794,21.97365,29.35339,68.63168,80.8012,18.97886,41.50183,24.27404,20.79508,9.355888,7.9501240000000015,5.142906,7.3990649999999984,2244201.0,4644146.0,8277904.0
2007-07-01,29.54968,36.340720000000005,75.58809000000001,87.58926,20.50353,44.66285,22.589979999999997,29.45944,69.18495,81.0258,19.32085,41.46973,23.55254,18.93543,8.471089,7.493444,5.768167,7.149399000000001,2228497.0000000005,4722519.0,8361117.0
2007-10-01,29.228309999999997,36.10861,75.96144,88.27892,21.35663,45.55679,23.214129999999997,29.82852,69.97152,82.32339,19.86571,42.44907,20.57655,17.392229999999998,7.88548,6.746256,6.981057000000001,6.8216339999999995,2223626.0,4826766.0,8434463.0
2008-01-01,29.94844,36.55852,75.86749,88.34394,21.39167,46.50267,23.89831,30.69981,70.40465999999999,83.23161,20.39325,43.33705,20.20181,16.025579999999998,7.200491,5.786841000000001,4.667333,6.807392999999999,2220219.0,4983427.0,8469340.0
2008-04-01,29.427390000000003,36.07902,76.13662,88.65543000000001,21.69098,46.84965,23.45015,30.57808,70.81271,83.7205,20.90161,44.53395,20.31182,15.24691,6.992572999999999,5.5664169999999995,3.639133,4.942821,2218586.0000000005,4999322.0,8516710.0
2008-07-01,29.24431,36.33018,76.42465,88.98313,21.54669,46.4919,23.71339,31.09478,71.1304,84.4584,20.60846,43.97489,18.91282,14.410620000000002,6.9274130000000005,5.084931,4.354399,5.413864,2211220.0,5087417.0,8576963.0
2008-10-01,29.65138,37.13064,76.62988,89.08931,21.86028,47.18479,23.72597,31.45897,71.82148000000001,84.48019000000001,20.79789,44.39967,19.9836,15.27491,6.274846,5.173605,4.859911,5.902577,2174975.0,5073934.0,8667288.0
2009-01-01,29.866190000000003,36.62312,74.39477,86.27654,20.06029,43.40796,24.03209,29.63605,68.72153,80.96805,18.82603,40.41197,19.53414,19.0783,7.625864999999998,6.152871,6.15273,6.901935000000001,2132718.0,5021509.0,8785999.0
2009-04-01,28.69824,36.43231,74.72384,86.42846999999999,20.36315,43.82805,22.71541,29.27601,68.96892,80.85982,19.21196,40.68166,20.84736,19.64272,7.701591,6.44308,5.653307,7.178934,2111285.0,4955497.0,8814127.0
2009-07-01,29.22332,37.51874,75.51982,86.70841,20.79251,44.77883,22.66362,29.30315,69.67962,80.88268000000001,19.43517,41.45206,22.44679,21.89731,7.733336,6.718767,6.528012,7.429332,2123416.0,4922196.0,8809052.0
2009-10-01,29.157290000000003,38.11587,76.41969,86.78685,21.79984,44.48988,22.55888,29.71097,70.32539,80.8284,20.45061,41.21529,22.63038,22.05092,7.974761,6.865608,6.189166,7.360314999999998,2060281.0,4837499.0,8898421.999999998
2010-01-01,30.096090000000004,38.56925,76.27148000000001,86.82101,22.37436,45.31955,22.77116,29.486209999999996,69.27538,79.30043,20.71993,41.91073,24.33848,23.54997,9.172645,8.662175999999999,7.39428,7.521732000000002,2013508.0,4695681.0,8704741.0
2010-04-01,29.487679999999997,38.2504,76.96876999999999,86.99619,23.12168,45.38693,21.85516,29.78558,70.22610999999999,79.82868,21.40589,41.83735,25.88377,22.13001,8.760246,8.23888,7.420689,7.820696000000002,2007087.0,4687996.0,8777896.999999998
2010-07-01,30.2232,39.06499,76.8895,86.9889,24.11919,45.97908,22.59581,29.876520000000003,70.1659,80.12581999999999,22.51463,42.17588,25.23686,23.52098,8.744492999999999,7.889606,6.652636,8.271577,2033602.0,4663020.0,8823955.0
2010-10-01,28.67466,37.98619,76.8925,87.05269,24.99365,46.9565,21.15297,29.49669,70.03081999999999,80.21722,23.22202,43.02911,26.23112,22.3489,8.92373,7.852105,7.0883020000000005,8.363893,2019803.0,4695403.0,8768605.0
2011-01-01,27.55128,37.66859,76.83051999999999,87.00573,26.00747,47.73787,19.99375,28.42962,70.12839,80.24483000000001,24.35172,44.0053,27.43076,24.52698,8.723272,7.770643,6.366444,7.818877,2004792.0,4746597.0,8773010.0
2011-04-01,28.21279,37.93333,76.95921,87.0658,26.84664,48.63948,20.46008,28.8754,69.86615,80.35844,25.07582,44.87288,27.479429999999997,23.87854,9.216643,7.703780999999998,6.596077,7.743923,2028111.0,4775407.0,8771110.0
2011-07-01,28.66483,38.10265,77.00995999999999,87.1487,26.89084,48.88335,20.13393,28.85955,69.71703000000001,80.43915,25.1077,45.10252,29.76088,24.25844,9.470119,7.6989740000000015,6.631027,7.734399000000002,2037392.0,4768874.0,8780510.0
2011-10-01,28.4266,37.663540000000005,77.54791,87.38190999999999,27.320190000000004,48.93884,19.93502,28.5931,70.04839,80.65231,25.31441,45.0457,29.87196,24.08281,9.670826000000002,7.7013669999999985,7.341761,7.95511,1962006.0,4796222.0,8803971.0
2012-01-01,28.81745,37.63356,77.66043,87.59066,27.81141,49.55163,20.29885,28.357329999999997,70.29148,80.62737,25.96522,45.38036,29.56057,24.64883,9.488685,7.949805,6.6382259999999995,8.418039,1956019.0,4753112.0,8885991.0
2012-04-01,28.55273,37.54366,77.96481,87.70825,28.67888,51.03215,20.03353,28.53943,70.32233000000001,80.67962,26.58424,46.6498,29.83673,23.98336,9.802485,8.013653999999999,7.303775,8.58743,2001499.0,4739959.0,8890094.000000002
2012-07-01,27.59263,37.90815,78.01543000000001,87.82779000000001,29.6858,50.77143,19.38785,28.518859999999997,70.14276,80.5599,27.58803,46.43999,29.73539,24.76854,10.09116,8.275162,7.066585000000001,8.531262,1966436.0,4731038.0,8869824.0
2012-10-01,28.37552,38.11565,77.94936,87.86513000000001,30.30579,51.03833,19.62967,28.67312,70.17884000000001,80.4589,28.04895,46.84929,30.8218,24.77337,9.968666,8.429086999999999,7.446892999999998,8.207628999999999,1917045.0,4735590.999999999,8915690.999999998
2013-01-01,27.303590000000003,37.88816,77.72414,87.79897,30.43183,52.43666,18.64758,28.038090000000004,69.56536,80.38441,28.20041,47.64645,31.70285,25.99775,10.4971,8.444924,7.332547,9.135225,1869131.0,4704229.0,8957818.000000002
2013-04-01,27.6898,37.72888,77.62782,87.94404,31.16839,53.27983,19.28485,28.134359999999997,69.48043,80.44184,28.7569,48.32648,30.353990000000003,25.43018,10.49545,8.53065,7.73698,9.296856,1872107.0,4744282.0,8940245.0
2013-07-01,28.05545,37.85822,78.01505,87.97948000000001,31.56127,53.366580000000006,19.787329999999997,27.87465,70.14634000000001,80.59414,29.27368,48.8774,29.47065,26.37095,10.08614,8.394385,7.248099000000002,8.41197,1866902.0,4774384.0,8900997.0
2013-10-01,28.10166,37.72695,77.99162,88.00595,32.546459999999996,53.76184,19.91378,28.13117,70.42068,80.8204,30.24972,49.47518,29.13663,25.4348,9.707371,8.164845,7.056794,7.973427,1859861.0,4785005.999999999,8997140.0
2014-01-01,28.887959999999996,38.6018,78.27354,88.29141,33.38149,53.78249,20.880370000000003,28.91136,70.59127,81.15056,30.98423,49.49326,27.719490000000004,25.103579999999997,9.814642,8.087822000000001,7.1814,7.975134,1849199.0,4799036.0,9144154.0
2014-04-01,28.942259999999997,38.23602,78.14771,88.56788,33.05312,54.61411,21.41122,29.45727,71.01455,81.86378,30.83676,50.51157,26.02092,22.95937,9.127789000000002,7.569452,6.705467,7.511867,1795492.0000000002,4823325.0,9208824.0
2014-07-01,28.52895,38.2173,78.33775,88.76572,33.57039,55.22755,21.31463,29.43275,71.8757,82.52611,31.34933,51.32265,25.28769,22.98579,8.248951,7.029294999999999,6.616128,7.070566,1782003.0,4859236.0,9259738.000000002
2014-10-01,27.78285,37.86158,78.52829,88.74533000000001,34.38836,55.39686,21.32736,29.8709,72.14777,82.69321,32.26815,51.3795,23.2355,21.105,8.125132,6.819642,6.165466,7.2519740000000015,1851106.0,4862903.0,9211083.0
2015-01-01,27.20522,38.02231,78.37437,88.72624,35.095890000000004,54.96378000000001,21.1516,29.55667,72.19773,82.82445,33.03971,51.231640000000006,22.25168,22.26492,7.8809429999999985,6.651695,5.8587489999999995,6.790189999999999,1871870.0,4875827.0,9217562.0
2015-04-01,26.62282,37.8105,78.57616,88.59049,34.83858,54.48896,21.01002,29.875740000000004,72.84453,82.92604,33.074709999999996,51.27733,21.08266,20.98559,7.294366,6.393976,5.062972,5.8941040000000005,1838304.0,4861464.0,9298107.0
2015-07-01,26.99943,37.87016,78.51979,88.79258,36.36526,55.71525,21.51719,30.15397,72.99833000000001,83.20527,34.52906,52.36872,20.30503,20.37538,7.031939,6.29254,5.049335,6.00649,1853291.0,4894638.0,9388478.000000002
2015-10-01,26.75241,37.7803,78.69176,89.01155,37.27799,56.097640000000006,21.31191,30.17292,73.43338,83.62378000000001,35.72472,52.79874,20.33648,20.13584,6.682258,6.052887,4.16673,5.880651,1833935.0,4953271.0,9446153.0
2016-01-01,29.23245,39.29613,78.22478000000001,89.13511,36.83923,56.32825,23.47666,31.84293,73.44875,84.12514,35.364309999999996,53.30755,19.68972,18.96675,6.105516000000001,5.620649,4.0036760000000005,5.362678,1751146.0,4994293.0,9379975.0
2016-04-01,28.848740000000003,39.57732,78.43138,89.35805,37.171690000000005,55.94605,23.48898,32.57411,73.8271,84.51713000000001,36.06987,52.9946,18.57883,17.695,5.87046,5.4174370000000005,2.964118,5.275526,1734151.0,5075419.0,9347784.0
2016-07-01,28.28247,39.54935,78.35093,89.36275,37.84082,56.26906999999999,23.18093,32.51061,73.86395,84.79578000000001,36.39461,53.369690000000006,18.03782,17.79734,5.726780000000001,5.110594,3.821833999999999,5.152702,1673879.0,5086173.0,9421349.0
2016-10-01,28.94316,38.89864,78.22448,89.61593,38.93392,57.847080000000005,24.33752,32.63223,74.1238,85.36378,37.4803,54.90464,15.912720000000002,16.10957,5.242192,4.744862,3.733551,5.086572,1671622.9999999998,5140715.0,9507893.0
2017-01-01,29.536890000000003,38.62239,78.29966999999999,89.78001,38.87832,58.6961,24.95171,32.57626,74.75771,85.68139000000001,37.490590000000005,56.021269999999994,15.52356,15.654470000000002,4.523586,4.565179,3.569414,4.557075,1723927.0000000002,5164800.0,9522170.0
2017-04-01,29.068720000000003,39.59008,78.44086,89.89098,40.15062,59.007369999999995,24.56103,33.37,74.94551,86.02254,38.7847,56.2604,15.50702,15.71121,4.456021,4.303488,3.401989,4.655289,1717112.9999999998,5189535.0,9555780.0
2017-07-01,29.81877,38.99331,78.02587,90.04127,39.82384,59.43826,25.48554,33.61163,74.48891,86.52195,38.64006,57.001909999999995,14.53187,13.801570000000002,4.533062,3.908558,2.972546,4.0989510000000005,1671596.0,5191110.0,9571243.0
2017-10-01,30.2963,39.26549,78.23888000000001,89.90938,38.33508,59.71746,25.85676,33.79211,75.05013000000001,86.55875,37.22278,57.60318,14.65375,13.939429999999998,4.075654,3.726663,2.9015,3.54048,1576063.9999999998,5175955.0,9629507.0
2018-01-01,30.22163,39.74596,78.58168,89.81196,38.7609,59.42088,26.50069,34.948440000000005,75.74415,86.75995999999999,37.83616,57.28761,12.31217,12.07044,3.610936,3.3982129999999997,2.385758,3.590107,1575672.9999999998,5192891.0,9683729.0
2018-04-01,31.16975,38.98553,78.91833000000001,89.97568000000001,39.67561,60.331869999999995,27.68518,34.471090000000004,76.20588000000002,87.02344000000001,38.91648,58.55619,11.17933,11.57977,3.43705,3.281161,1.913328,2.943192,1595610.0,5193085.999999999,9776879.0
