DATE,GPDIC1,NCBEILQ027S,TNWMVBSNNCB
1947-01-01,227.242,,
1947-04-01,209.836,,
1947-07-01,203.662,,
1947-10-01,243.072,95116.0,248.424
1948-01-01,268.012,,
1948-04-01,284.598,,
1948-07-01,287.514,,
1948-10-01,273.765,94141.0,271.21
1949-01-01,232.885,,
1949-04-01,201.926,,
1949-07-01,218.667,,
1949-10-01,207.912,103822.0,279.525
1950-01-01,257.271,,
1950-04-01,284.803,,
1950-07-01,309.285,,
1950-10-01,348.585,126681.0,302.233
1951-01-01,312.966,,
1951-04-01,320.221,,
1951-07-01,296.643,,
1951-10-01,273.007,147629.0,315.989
1952-01-01,280.13,151463.0,324.8
1952-04-01,259.01,157607.0,323.655
1952-07-01,272.895,156907.0,324.574
1952-10-01,292.552,146628.0,337.709
1953-01-01,298.847,143052.0,345.577
1953-04-01,300.547,133816.0,360.811
1953-07-01,294.261,129274.0,371.124
1953-10-01,272.998,144082.0,355.866
1954-01-01,271.041,156255.0,348.105
1954-04-01,270.402,172550.0,336.352
1954-07-01,283.451,191985.0,318.46
1954-10-01,295.882,194840.0,316.577
1955-01-01,325.442,202122.0,315.181
1955-04-01,345.235,225533.0,299.974
1955-07-01,350.533,240995.0,295.574
1955-10-01,358.661,244222.0,303.206
1956-01-01,348.42,262345.0,302.167
1956-04-01,345.678,252704.0,317.855
1956-07-01,342.583,246833.0,337.368
1956-10-01,339.406,268373.0,325.096
1957-01-01,334.137,254023.0,349.612
1957-04-01,333.798,273076.0,338.547
1957-07-01,341.451,245392.0,372.591
1957-10-01,315.195,245747.0,373.265
1958-01-01,293.932,261319.0,361.618
1958-04-01,288.01,278565.0,348.929
1958-07-01,310.114,310541.0,322.078
1958-10-01,336.555,324670.0,311.548
1959-01-01,354.894,332012.0,310.871
1959-04-01,382.5,346451.0,303.859
1959-07-01,357.798,339875.0,317.217
1959-10-01,369.442,362157.0,298.586
1960-01-01,406.581,339310.0,324.132
1960-04-01,368.686,347588.0,317.788
1960-07-01,367.749,321285.0,348.509
1960-10-01,327.01,365166.0,302.203
1961-01-01,335.496,410353.0,262.357
1961-04-01,359.004,411555.0,269.138
1961-07-01,386.914,423621.0,263.946
1961-10-01,393.316,437674.0,253.252
1962-01-01,414.522,427931.0,260.009
1962-04-01,411.253,326582.0,260.313
1962-07-01,418.241,345363.0,267.237
1962-10-01,406.004,424314.0,272.755
1963-01-01,427.366,447981.0,279.023
1963-04-01,434.164,469026.0,285.674
1963-07-01,447.531,487677.0,293.41
1963-10-01,452.965,465779.0,295.679
1964-01-01,469.918,495027.0,305.209
1964-04-01,468.225,511094.0,316.545
1964-07-01,479.154,528953.0,325.587
1964-10-01,483.706,545955.0,329.387
1965-01-01,529.824,559834.0,339.118
1965-04-01,531.216,539451.0,347.287
1965-07-01,549.712,587928.0,359.083
1965-10-01,553.352,623812.0,381.292
1966-01-01,597.563,606267.0,389.244
1966-04-01,588.717,581050.0,406.512
1966-07-01,584.373,523227.0,412.724
1966-10-01,587.798,547891.0,424.301
1967-01-01,573.373,625556.0,438.322
1967-04-01,552.629,641312.0,449.196
1967-07-01,568.833,678588.0,466.192
1967-10-01,581.104,712221.0,482.74
1968-01-01,592.754,652734.0,492.797
1968-04-01,615.427,731114.0,514.019
1968-07-01,598.643,728536.0,526.922
1968-10-01,605.155,843150.0,549.504
1969-01-01,640.79,803399.0,566.361
1969-04-01,637.015,774485.0,582.065
1969-07-01,649.948,743955.0,598.25
1969-10-01,618.565,705075.0,620.655
1970-01-01,600.116,677754.0,635.478
1970-04-01,601.421,541846.0,652.423
1970-07-01,611.208,633751.0,668.381
1970-10-01,578.757,702482.0,695.182
1971-01-01,646.232,774797.0,727.599
1971-04-01,664.569,778662.0,751.267
1971-07-01,672.632,765605.0,777.509
1971-10-01,654.519,824038.0,805.998
1972-01-01,697.648,872231.0,844.656
1972-04-01,737.276,875195.0,868.467
1972-07-01,747.745,893709.0,892.444
1972-10-01,752.434,1032948.0,952.294
1973-01-01,796.53,970789.0,982.963
1973-04-01,830.483,903834.0,1014.908
1973-07-01,800.37,953723.0,1061.135
1973-10-01,828.879,809566.0,1101.691
1974-01-01,781.544,784355.0,1156.007
1974-04-01,778.425,723428.0,1216.704
1974-07-01,738.08,540503.0,1290.643
1974-10-01,742.56,557656.0,1463.946
1975-01-01,622.949,684995.0,1397.866
1975-04-01,604.403,791700.0,1465.111
1975-07-01,651.26,701766.0,1472.677
1975-10-01,669.438,754897.0,1512.877
1976-01-01,734.031,868276.0,1571.885
1976-04-01,763.083,887750.0,1634.699
1976-07-01,765.742,897381.0,1677.842
1976-10-01,771.471,927412.0,1780.782
1977-01-01,807.213,857111.0,1828.078
1977-04-01,865.083,882073.0,1884.214
1977-07-01,908.859,845309.0,1935.804
1977-10-01,886.06,819176.0,2002.999
1978-01-01,903.329,773891.0,2055.107
1978-04-01,962.001,833210.0,2144.229
1978-07-01,990.029,895811.0,2238.676
1978-10-01,1012.924,856335.0,2337.68
1979-01-01,1014.607,910897.0,2431.232
1979-04-01,1013.693,921144.0,2537.603
1979-07-01,996.622,981163.0,2656.9
1979-10-01,978.943,1014783.0,2763.754
1980-01-01,972.248,956911.0,2829.753
1980-04-01,889.579,1076609.0,2940.798
1980-07-01,830.866,1214006.0,3070.96
1980-10-01,908.306,1346523.0,3214.555
1981-01-01,992.376,1351007.0,3321.064
1981-04-01,951.246,1315862.0,3417.672
1981-07-01,1004.861,1136139.0,3456.36
1981-10-01,969.475,1225637.0,3582.401
1982-01-01,877.772,1090438.0,3655.253
1982-04-01,877.104,1073656.0,3692.431
1982-07-01,869.067,1172793.0,3763.541
1982-10-01,801.889,1386479.0,3823.051
1983-01-01,829.672,1533804.0,3900.529
1983-04-01,903.148,1736716.0,3963.399
1983-07-01,959.692,1709522.0,3970.07
1983-10-01,1053.054,1630514.0,4037.403
1984-01-01,1154.826,1527807.0,4010.729
1984-04-01,1192.381,1456011.0,4031.902
1984-07-01,1218.184,1543237.0,4140.981
1984-10-01,1202.383,1553653.0,4214.815
1985-01-01,1169.416,1671498.0,4224.217
1985-04-01,1189.334,1744053.0,4263.001
1985-07-01,1181.226,1642361.0,4249.914
1985-10-01,1224.763,1917631.0,4549.658
1986-01-01,1224.404,2137668.0,4628.374
1986-04-01,1203.028,2245424.0,4672.986
1986-07-01,1170.667,2032679.0,4643.147
1986-10-01,1174.171,2241896.0,4782.155
1987-01-01,1205.858,2709357.0,4955.537
1987-04-01,1206.486,2784821.0,5023.806
1987-07-01,1206.662,2945570.0,5110.79
1987-10-01,1288.881,2287678.0,4979.591
1988-01-01,1227.008,2420352.0,5040.583
1988-04-01,1256.243,2516095.0,5124.517
1988-07-01,1263.222,2460529.0,5164.238
1988-10-01,1282.499,2559333.0,5326.698
1989-01-01,1326.029,2670653.0,5565.999
1989-04-01,1313.202,2837245.0,5593.322
1989-07-01,1301.412,3057566.0,5623.056
1989-10-01,1291.758,3140008.0,5651.75
1990-01-01,1304.586,3006907.0,5592.05
1990-04-01,1304.993,3136251.0,5638.248
1990-07-01,1279.695,2654774.0,5570.939
1990-10-01,1208.107,2956992.0,5512.394
1991-01-01,1167.908,3397923.0,5590.789
1991-04-01,1167.904,3355984.0,5579.393
1991-07-01,1191.028,3538025.0,5516.355
1991-10-01,1233.261,4000417.0,5517.55
1992-01-01,1210.478,3914314.0,5319.322
1992-04-01,1278.935,3876608.0,5288.267
1992-07-01,1289.101,3973482.0,5228.901
1992-10-01,1328.433,4369261.0,5131.335
1993-01-01,1359.751,4493617.0,5175.356
1993-04-01,1367.575,4515232.0,5217.275
1993-07-01,1358.287,4646190.0,5291.214
1993-10-01,1429.661,4865339.0,5529.569
1994-01-01,1484.116,4658750.0,5559.8
1994-04-01,1557.107,4573094.0,5677.033
1994-07-01,1531.67,4833579.0,5836.766
1994-10-01,1594.684,4831577.0,6002.719
1995-01-01,1611.428,5203193.0,6140.573
1995-04-01,1577.96,5633101.0,6315.204
1995-07-01,1568.555,6064628.0,6472.764
1995-10-01,1607.513,6449974.0,6745.899
