Entity,Code,Year,Patent application rates (OWID based on World Bank & UN)
Albania,ALB,2011,1.033
Albania,ALB,2014,3.461
Albania,ALB,2015,4.86
Algeria,DZA,1988,0.203
Algeria,DZA,1989,0.158
Algeria,DZA,1990,0.232
Algeria,DZA,1991,0.226
Algeria,DZA,1992,0.368
Algeria,DZA,1993,0.288
Algeria,DZA,1994,0.952
Algeria,DZA,1995,0.969
Algeria,DZA,1996,1.7
Algeria,DZA,1997,1.138
Algeria,DZA,1998,1.385
Algeria,DZA,1999,1.17
Algeria,DZA,2000,1.026
Algeria,DZA,2001,1.614
Algeria,DZA,2002,1.344
Algeria,DZA,2003,0.926
Algeria,DZA,2004,1.767
Algeria,DZA,2005,1.772
Algeria,DZA,2006,1.717
Algeria,DZA,2007,2.449
Algeria,DZA,2010,2.104
Algeria,DZA,2011,2.553
Algeria,DZA,2012,3.168
Algeria,DZA,2013,3.078
Algeria,DZA,2014,2.403
Algeria,DZA,2015,2.232
Angola,AGO,1992,0.308
Arab World,,1989,2.532
Arab World,,1993,2.909
Arab World,,1994,2.841
Arab World,,1995,3.117
Arab World,,1996,3.458
Arab World,,1998,2.854
Arab World,,1999,2.91
Arab World,,2000,3.96
Arab World,,2001,2.867
Arab World,,2002,3.348
Arab World,,2003,2.89
Arab World,,2004,3.015
Arab World,,2005,3.105
Arab World,,2007,3.097
Arab World,,2010,4.351
Arab World,,2011,4.626
Arab World,,2013,5.661
Arab World,,2014,5.599
Argentina,ARG,1990,29.178
Argentina,ARG,1991,28.409
Argentina,ARG,1992,14.946
Argentina,ARG,1993,23.072
Argentina,ARG,1994,20.082
Argentina,ARG,1995,19.317
Argentina,ARG,1996,30.971
Argentina,ARG,1997,22.995
Argentina,ARG,1998,23.757
Argentina,ARG,1999,24.531
Argentina,ARG,2000,28.658
Argentina,ARG,2001,18.441
Argentina,ARG,2002,18.95
Argentina,ARG,2003,20.674
Argentina,ARG,2004,20.295
Argentina,ARG,2005,26.925
Argentina,ARG,2006,25.784
Argentina,ARG,2007,23.442
Argentina,ARG,2008,19.835
Argentina,ARG,2009,15.687
Argentina,ARG,2010,13.39
Argentina,ARG,2011,16.516
Argentina,ARG,2012,17.46
Argentina,ARG,2013,15.115
Argentina,ARG,2014,11.842
Argentina,ARG,2015,12.575
Armenia,ARM,1993,54.711
Armenia,ARM,1994,46.899
Armenia,ARM,1995,58.123
Armenia,ARM,1996,51.133
Armenia,ARM,1997,19.789
Armenia,ARM,1998,24.126
Armenia,ARM,1999,35.286
Armenia,ARM,2000,38.767
Armenia,ARM,2001,45.892
Armenia,ARM,2002,65.922
Armenia,ARM,2003,50.036
Armenia,ARM,2005,69.098
